Sample	Unique Reads	Duplicate Reads
EXP001_R1_001	40807148.0	15810558.0
EXP001_R2_001	40855417.0	15762289.0
EXP002_R1_001	35859804.0	12178172.0
EXP002_R2_001	35825721.0	12212255.0
EXP157_R1_001	33152267.0	11367606.0
EXP157_R2_001	33071819.0	11448054.0
EXP158_R1_001	42500886.0	15283214.0
EXP158_R2_001	42428433.0	15355667.0
EXP159_R1_001	39004426.0	13259355.0
EXP159_R2_001	38886127.0	13377654.0
EXP160_R1_001	37674481.0	13010576.0
EXP160_R2_001	37690979.0	12994078.0
MHW001_R1_001	8601155.0	26509060.0
MHW001_R2_001	9713508.0	25396707.0
MHW002_R1_001	11781236.0	28379412.0
MHW002_R2_001	12937114.0	27223534.0
MHW003_R1_001	29360702.0	6525868.0
MHW003_R2_001	29187991.0	6698579.0
MHW004_R1_001	26845228.0	7981949.0
MHW004_R2_001	26755285.0	8071892.0
MHW005_R1_001	12130758.0	20147936.0
MHW005_R2_001	12870510.0	19408184.0
MHW006_R1_001	11074229.0	26587996.0
MHW006_R2_001	11646618.0	26015607.0
MHW007_R1_001	23843862.0	6532655.0
MHW007_R2_001	23487553.0	6888964.0
MHW008_R1_001	24507888.0	7299199.0
MHW008_R2_001	23507710.0	8299377.0
MHW009_R1_001	33930153.0	7258695.0
MHW009_R2_001	33852140.0	7336708.0
MHW010_R1_001	36740227.0	8320090.0
MHW010_R2_001	36684688.0	8375629.0
MHW011_R1_001	33878182.0	7563633.0
MHW011_R2_001	33759741.0	7682074.0
MHW012_R1_001	39057389.0	10941238.0
MHW012_R2_001	38869574.0	11129053.0
MHW013_R1_001	38101717.0	8921232.0
MHW013_R2_001	37941044.0	9081905.0
MHW014_R1_001	32881428.0	8186480.0
MHW014_R2_001	32518820.0	8549088.0
MHW015_R1_001	32851975.0	4931696.0
MHW015_R2_001	32705343.0	5078328.0
MHW016_R1_001	38051070.0	9079636.0
MHW016_R2_001	37465184.0	9665522.0
MHW017_R1_001	34591825.0	10188350.0
MHW017_R2_001	33925435.0	10854740.0
MHW018_R1_001	21847394.0	32068505.0
MHW018_R2_001	22373700.0	31542199.0
MHW019_R1_001	23305112.0	14452861.0
MHW019_R2_001	23507039.0	14250934.0
MHW020_R1_001	20937450.0	23497003.0
MHW020_R2_001	21494850.0	22939603.0
MHW021_R1_001	24280257.0	17831368.0
MHW021_R2_001	24624537.0	17487088.0
MHW022_R1_001	18147118.0	18236046.0
MHW022_R2_001	18409075.0	17974089.0
MHW023_R1_001	21966350.0	12161620.0
MHW023_R2_001	21928624.0	12199346.0
MHW024_R1_001	27481886.0	47895239.0
MHW024_R2_001	28743880.0	46633245.0
MHW025_R1_001	30594029.0	46221812.0
MHW025_R2_001	32111727.0	44704114.0
MHW026_R1_001	26441318.0	28096622.0
MHW026_R2_001	27084581.0	27453359.0
MHW027_R1_001	35481151.0	45477663.0
MHW027_R2_001	36736650.0	44222164.0
MHW028_R1_001	21496297.0	44869221.0
MHW028_R2_001	22936675.0	43428843.0
MHW029_R1_001	28239374.0	50388394.0
MHW029_R2_001	29533738.0	49094030.0
MHW030_R1_001	13716475.0	37023164.0
MHW030_R2_001	15072209.0	35667430.0
MHW031_R1_001	24057682.0	43070564.0
MHW031_R2_001	25201339.0	41926907.0
MHW032_R1_001	36367489.0	7670498.0
MHW032_R2_001	36235079.0	7802908.0
MHW033_R1_001	35331799.0	7382965.0
MHW033_R2_001	35148297.0	7566467.0
MHW034_R1_001	35647390.0	7347944.0
MHW034_R2_001	35527290.0	7468044.0
MHW035_R1_001	38816773.0	8323908.0
MHW035_R2_001	38726803.0	8413878.0
MHW036_R1_001	35820436.0	6930925.0
MHW036_R2_001	35731911.0	7019450.0
MHW037_R1_001	35030492.0	6908736.0
MHW037_R2_001	34914513.0	7024715.0
MHW038_R1_001	36948499.0	8236507.0
MHW038_R2_001	36810693.0	8374313.0
MHW039_R1_001	44551801.0	14454417.0
MHW039_R2_001	44434551.0	14571667.0
MHW040_R1_001	43736963.0	13984227.0
MHW040_R2_001	43793990.0	13927200.0
MHW041_R1_001	38724425.0	12040506.0
MHW041_R2_001	38660826.0	12104105.0
MHW042_R1_001	42976991.0	13196495.0
MHW042_R2_001	42934291.0	13239195.0
MHW043_R1_001	42799351.0	13072480.0
MHW043_R2_001	42753596.0	13118235.0
MHW044_R1_001	39710419.0	11959515.0
MHW044_R2_001	39615990.0	12053944.0
MHW045_R1_001	35519606.0	9913918.0
MHW045_R2_001	35490889.0	9942635.0
MHW046_R1_001	41880893.0	13116120.0
MHW046_R2_001	41881138.0	13115875.0
MHW047_R1_001	43257970.0	10367830.0
MHW047_R2_001	43229264.0	10396536.0
MHW048_R1_001	40732926.0	9528526.0
MHW048_R2_001	40582216.0	9679236.0
MHW049_R1_001	37221993.0	8667884.0
