Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
EXP001_R1_001	EXP001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56617706.0	0.0	150.0	45.0	72.07488735508959	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
EXP001_R2_001	EXP001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	56617706.0	0.0	150.0	45.0	72.16014106553973	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
EXP002_R1_001	EXP002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48037976.0	0.0	150.0	45.0	74.64886472864002	150.0	pass	pass	pass	pass	pass	pass	pass	pass	pass	warn	pass
EXP002_R2_001	EXP002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	48037976.0	0.0	150.0	45.0	74.5779133940875	150.0	pass	pass	pass	pass	pass	warn	pass	pass	pass	warn	pass
EXP157_R1_001	EXP157_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44519873.0	0.0	150.0	47.0	74.46622066570899	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
EXP157_R2_001	EXP157_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44519873.0	0.0	150.0	47.0	74.28551802045806	150.0	pass	pass	pass	pass	warn	pass	pass	pass	pass	warn	pass
EXP158_R1_001	EXP158_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57784100.0	0.0	150.0	45.0	73.55117709083314	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	pass	pass
EXP158_R2_001	EXP158_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	57784100.0	0.0	150.0	46.0	73.42579144567163	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
EXP159_R1_001	EXP159_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52263781.0	0.0	150.0	45.0	74.62993467728644	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
EXP159_R2_001	EXP159_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	52263781.0	0.0	150.0	45.0	74.40358507196547	150.0	pass	pass	pass	pass	warn	warn	pass	pass	pass	warn	pass
EXP160_R1_001	EXP160_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50685057.0	0.0	150.0	45.0	74.33054721011226	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	pass	pass
EXP160_R2_001	EXP160_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	50685057.0	0.0	150.0	45.0	74.36309860146297	150.0	pass	pass	pass	pass	warn	fail	pass	pass	pass	warn	pass
MHW001_R1_001	MHW001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35110215.0	0.0	150.0	66.0	24.497582917867668	150.0	pass	fail	warn	pass	fail	fail	pass	pass	fail	fail	fail
MHW001_R2_001	MHW001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35110215.0	0.0	150.0	78.0	27.665759401905476	150.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
MHW002_R1_001	MHW002_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40160648.0	0.0	150.0	64.0	29.33527176221235	150.0	pass	warn	warn	pass	fail	fail	pass	pass	fail	fail	fail
MHW002_R2_001	MHW002_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	40160648.0	0.0	150.0	73.0	32.21340929285837	150.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	fail
MHW003_R1_001	MHW003_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35886570.0	0.0	150.0	46.0	81.81528997217522	150.0	pass	pass	warn	pass	warn	pass	pass	pass	pass	fail	pass
